AES_Time,RSA_Time
0.002286,0.287127
0.001846,0.056953
0.001581,0.055968
0.001668,0.053053
0.001557,0.065583
0.001593,0.058884
0.001655,0.06054
0.001849,0.061116
0.001884,0.057985
0.001918,0.071854
0.001603,0.059632
0.001853,0.054784
0.001593,0.193254
0.0023,0.060418
0.002058,0.080188
0.001864,0.067704
0.001959,0.059537
0.001745,0.060783
0.001696,0.059671
0.001856,0.077171
0.001804,0.061909
0.001789,0.066726
0.001655,0.120953
0.001818,0.064139
0.001725,0.062042
0.001675,0.060137
0.001854,0.053879
0.001488,0.066733
0.001774,0.058916
0.001778,0.066623
0.002115,0.072557
0.001859,0.071961
0.001847,0.06785
0.003037,0.062368
0.002137,0.065222
0.001769,0.080938
0.001913,0.084273
0.002192,0.064093
0.001992,0.060946
0.001995,0.078409
0.00185,0.069101
0.001755,0.060563
0.001661,0.069633
0.002102,0.073028
0.002496,0.059969
0.001756,0.062114
0.001688,0.058256
0.002112,0.077899
0.001747,0.072862
0.002254,0.059658
0.001736,0.066719
0.00206,0.088828
0.001862,0.078076
0.001884,0.077381
0.002013,0.077901
0.001884,0.069855
0.001801,0.077366
0.002332,0.077448
0.002246,0.068547
0.001839,0.073562
0.001926,0.074231
0.001871,0.077782
0.00196,0.074742
0.002134,0.084854
0.002018,0.060697
0.001687,0.078509
0.001857,0.060977
0.001817,0.156013
0.001881,0.074837
0.002036,0.097994
0.002735,0.076665
0.001896,0.06562
0.001992,0.080111
0.001968,0.067103
0.001835,0.065017
0.001718,0.073669
0.001673,0.057755
0.001725,0.0472
0.001266,0.057376
0.001683,0.061909
0.002166,0.098513
0.001781,0.05949
0.001894,0.061488
0.001697,0.06977
0.001837,0.064408
0.002525,0.058664
0.001679,0.084383
0.002149,0.073073
0.001938,0.078856
0.001869,0.082132
0.094716,0.075717
0.001906,0.059927
0.001676,0.078213
0.002079,0.072096
0.001848,0.059044
0.001875,0.062433
0.00166,0.075655
0.002008,0.094167
0.002272,0.072143
0.00186,0.093467
0.002353,0.064981
0.001743,0.070994
0.001699,0.06269
0.002091,0.073229
0.001766,0.07158
0.001788,0.076937
0.001862,0.10764
0.002627,0.074047
0.001827,0.079135
0.00232,0.077892
0.00199,0.069813
0.002496,0.066037
0.001636,0.07911
0.001921,0.166484
0.001796,0.063392
0.001687,0.070093
0.001846,0.093125
0.002918,0.082256
0.002174,0.087015
0.001946,0.063879
0.001624,0.064915
0.002271,0.061898
0.001928,0.059357
0.002006,0.075725
0.001982,0.059828
0.001712,0.058496
0.001694,0.061734
0.001951,0.062621
0.001706,0.096811
0.001912,0.062218
0.001887,0.064771
0.001885,0.0601
0.001895,0.056094
0.002032,0.056891
0.001814,0.069342
0.001893,0.088727
0.001868,0.063192
0.002058,0.062371
0.002022,0.059866
0.001672,0.051643
0.001416,0.055886
0.001499,0.061751
0.001884,0.059428
0.00183,0.055514
0.004963,0.052864
0.001439,0.087646
0.002019,0.060393
0.001719,0.083393
0.001935,0.067227
0.001801,0.059472
0.001771,0.064824
0.014701,0.057476
0.00191,0.057926
0.001777,0.064346
0.001905,0.081613
0.001849,0.056018
0.001923,0.060391
0.002387,0.151382
0.005833,0.053024
0.001595,0.054021
0.00189,0.0693
0.001812,0.051332
0.00135,0.052108
0.001377,0.059648
0.001847,0.070462
0.002713,0.061422
0.00189,0.052503
0.001349,0.053777
0.001391,0.053499
0.001304,0.054167
0.001577,0.095989
0.002076,0.058159
0.001666,0.062105
0.001887,0.049907
0.001301,0.063656
0.002067,0.059096
0.001771,0.053009
0.001552,0.061422
0.002033,0.060191
0.001347,0.049955
0.001384,0.066763
0.001818,0.052633
0.001553,0.058692
0.001752,0.059179
0.002025,0.059837
0.001969,0.05872
0.001763,0.058776
0.001857,0.072243
0.00193,0.05545
0.001517,0.057439
0.001677,0.080357
0.001825,0.063236
0.001651,0.0627
0.001646,0.062155
0.002071,0.07572
0.001927,0.06497
0.001888,0.063289
0.001723,0.063422
0.001761,0.068299
0.00186,0.064521
0.002035,0.071137
0.001845,0.063576
0.001989,0.062153
0.001775,0.063185
0.001897,0.060862
0.002414,0.067559
0.001791,0.056819
0.001682,0.053906
0.001556,0.104408
0.001838,0.061886
0.001887,0.083771
0.001383,0.062749
0.002364,0.051149
0.001395,0.097897
0.001899,0.057228
0.001732,0.060486
0.001801,0.053568
0.001523,0.053836
0.001697,0.057275
0.001695,0.065159
0.002391,0.057402
0.001714,0.084236
0.001739,0.056501
0.001394,0.053057
0.001402,0.058306
0.001892,0.06823
0.001877,0.053789
0.001576,0.063797
0.00202,0.090585
0.002348,0.057644
0.001785,0.051925
0.001768,0.05437
0.001746,0.057388
0.001692,0.056688
0.001822,0.048414
0.001311,0.059918
0.001869,0.051542
0.001293,0.059735
0.001733,0.056842
0.001823,0.054917
0.001529,0.052372
0.001587,0.053886
0.001851,0.06217
0.002078,0.050736
0.001314,0.050434
0.001312,0.049324
0.001288,0.048992
0.001366,0.051658
0.001306,0.055241
0.0016,0.063077
0.001568,0.060005
0.001989,0.061582
0.001894,0.057616
